churned,tenure_months,monthly_charges,contract_type,support_tickets,age,payment_method
Yes,69,84.12,Month-to-month,3.0,66,Bank transfer
No,46,38.44,One year,4.0,55,Cash
No,50,95.95,Two year,2.0,45,Cash
No,65,95.77,Two year,5.0,52,Cash
No,42,92.13,One year,5.0,30,Credit card
No,56,64.48,One year,0.0,61,Credit card
No,61,57.82,Month-to-month,0.0,40,Bank transfer
No,17,61.98,Two year,1.0,37,Cash
No,4,23.33,Month-to-month,2.0,53,Bank transfer
No,22,104.43,Month-to-month,2.0,42,Cash
No,21,74.24,One year,5.0,22,Credit card
No,63,58.75,Two year,1.0,33,Bank transfer
No,66,74.8,One year,6.0,79,Credit card
Yes,1,92.16,Month-to-month,5.0,36,Cash
No,36,58.15,Month-to-month,6.0,42,Cash
Yes,60,103.06,Month-to-month,6.0,29,Paypal
No,10,111.95,Two year,0.0,21,Credit card
No,58,58.74,Two year,4.0,74,Cash
No,9,33.78,Month-to-month,6.0,55,Credit card
No,34,96.04,Two year,0.0,73,Cash
No,59,119.29,Month-to-month,1.0,70,Paypal
No,22,34.8,Month-to-month,2.0,40,Credit card
No,25,91.27,One year,1.0,48,Bank transfer
Yes,21,102.53,Month-to-month,5.0,61,Credit card
No,52,112.06,Month-to-month,0.0,66,Cash
Yes,19,32.34,Month-to-month,6.0,48,Paypal
No,72,29.18,One year,2.0,20,Bank transfer
Yes,33,118.79,One year,4.0,35,Cash
No,35,31.68,Two year,2.0,37,Bank transfer
No,37,37.68,Two year,2.0,40,Paypal
Yes,42,77.5,Month-to-month,6.0,55,Credit card
No,40,64.63,Month-to-month,2.0,78,Cash
No,37,95.04,Two year,6.0,27,Bank transfer
No,72,39.06,One year,4.0,39,Cash
No,59,111.44,Month-to-month,2.0,34,Bank transfer
Yes,58,41.72,Month-to-month,6.0,54,Cash
No,51,96.91,Two year,1.0,69,Bank transfer
No,45,26.76,One year,2.0,77,Cash
Yes,25,67.34,Month-to-month,6.0,49,Credit card
No,72,23.26,One year,1.0,36,Bank transfer
No,34,51.38,One year,6.0,31,Credit card
No,16,51.22,Month-to-month,0.0,68,Bank transfer
No,61,91.97,Two year,0.0,20,Credit card
No,12,65.5,Two year,0.0,25,Bank transfer
No,62,25.68,Month-to-month,4.0,21,Paypal
Yes,45,119.54,Month-to-month,5.0,64,Cash
Yes,9,108.87,Month-to-month,5.0,71,Cash
No,4,111.63,Two year,4.0,68,Credit card
No,33,44.66,One year,4.0,35,Paypal
No,3,59.41,One year,6.0,70,Credit card
No,11,42.72,One year,6.0,18,Credit card
No,38,32.49,Month-to-month,0.0,79,Credit card
