age,annual_income_k,monthly_spend,avg_visits_per_month,gender
18,39,261.0,3.6,Male
34,79,139.0,4.3,Female
18,43,192.0,4.7,Female
22,45,150.0,1.6,Female
31,62,249.0,2.6,Male
30,49,286.0,2.5,Female
33,43,218.0,3.5,Female
23,29,293.0,3.7,Male
25,12,172.0,3.1,Male
19,19,265.0,3.3,Male
18,19,204.0,4.5,Male
18,60,193.0,2.0,Female
32,58,208.0,4.1,Female
26,38,312.0,4.3,Female
20,77,164.0,4.2,Female
31,37,231.0,3.4,Male
34,28,155.0,3.9,Female
40,36,314.0,3.4,Other
39,51,249.0,4.3,Female
22,39,134.0,1.9,Male
34,36,275.0,3.6,Male
23,79,296.0,3.7,Female
28,61,202.0,4.8,Female
33,19,261.0,4.5,Male
32,51,296.0,3.1,Male
44,40,266.0,2.1,Female
35,48,188.0,4.1,Female
32,52,259.0,3.0,Male
28,14,221.0,3.0,Male
35,57,255.0,1.9,Male
32,23,244.0,3.6,Female
20,20,266.0,5.4,Female
28,43,190.0,3.3,Male
18,39,230.0,3.2,Male
29,33,294.0,3.4,Female
30,51,230.0,3.9,Male
18,35,325.0,3.8,Female
35,44,324.0,2.8,Male
22,47,263.0,3.8,Female
30,29,277.0,3.5,Male
31,31,333.0,3.1,Male
29,23,175.0,3.5,Female
22,40,174.0,3.6,Male
28,55,192.0,2.5,Male
22,12,100.0,4.4,Female
43,33,225.0,3.1,Male
35,36,213.0,3.4,Female
18,50,153.0,5.4,Male
37,41,70.0,3.5,Female
33,43,184.0,5.3,Female
33,35,338.0,3.8,Female
29,43,287.0,3.8,Female
30,42,324.0,3.6,Female
19,27,193.0,4.4,Female
36,33,220.0,3.2,Female
18,23,148.0,3.7,Male
34,36,193.0,4.1,Male
21,12,216.0,3.8,Male
20,18,181.0,2.3,Male
26,34,228.0,4.3,Male
28,46,244.0,2.1,Female
26,23,155.0,3.6,Female
35,47,244.0,4.7,Male
28,28,195.0,3.0,Male
18,55,210.0,3.4,Male
25,38,188.0,4.3,Male
18,47,224.0,4.5,Female
38,57,220.0,2.7,Male
38,23,,3.1,Female
29,65,255.0,3.8,Male
28,44,266.0,4.0,Male
22,29,222.0,4.2,Female
31,36,117.0,2.4,Female
38,31,290.0,3.7,Male
24,14,203.0,2.9,Female
20,33,295.0,5.0,Female
18,34,200.0,3.8,Male
33,43,223.0,2.2,Female
21,32,185.0,2.1,Female
19,48,158.0,3.1,Male
24,43,189.0,2.5,Male
24,52,303.0,4.1,Female
30,31,252.0,4.9,Female
41,19,168.0,5.6,Female
26,54,187.0,4.4,Male
37,17,96.0,3.6,Female
20,35,281.0,4.4,Male
36,15,254.0,2.4,Female
23,48,268.0,3.7,Male
32,36,154.0,2.9,Male
31,24,168.0,2.2,Male
21,35,210.0,5.1,Male
38,19,298.0,3.2,Male
41,29,231.0,4.0,Female
35,53,242.0,2.5,Male
24,29,198.0,2.7,Female
28,12,207.0,3.3,Female
28,43,250.0,3.5,Male
22,72,239.0,4.8,Male
33,16,209.0,3.2,Male
33,37,198.0,4.7,Male
24,37,225.0,3.0,Male
37,74,133.0,3.4,Female
38,37,254.0,3.0,Female
28,44,232.0,3.0,Male
26,36,252.0,4.2,Female
32,35,251.0,3.2,Male
33,32,246.0,3.4,Male
39,45,321.0,3.6,Female
26,61,238.0,3.1,Female
41,38,139.0,3.6,Male
23,41,210.0,2.8,Male
18,30,190.0,2.1,Female
33,51,241.0,5.0,Female
28,32,203.0,5.2,Male
27,33,,4.7,Female
21,32,175.0,4.8,Male
23,54,182.0,3.3,Male
29,18,310.0,3.6,Female
31,35,254.0,3.2,Female
18,12,298.0,2.4,Female
18,42,190.0,3.8,Female
39,48,184.0,5.0,Male
31,53,273.0,5.0,Female
35,54,187.0,2.5,Other
33,47,277.0,3.9,Male
32,16,278.0,1.9,Female
36,27,218.0,5.3,Male
30,12,138.0,3.0,Male
30,32,180.0,4.3,Other
21,79,197.0,3.4,Female
25,33,303.0,3.4,Male
21,29,241.0,2.6,Other
38,37,176.0,2.5,Male
40,30,266.0,3.4,Male
26,53,316.0,4.0,Female
26,16,275.0,3.1,Female
18,42,217.0,2.8,Male
21,27,132.0,4.8,Female
33,27,236.0,3.5,Male
30,38,283.0,2.7,Female
29,27,318.0,2.2,Male
20,54,208.0,4.1,Female
22,64,215.0,3.5,Female
27,14,146.0,3.3,Male
22,56,266.0,4.0,Male
42,53,245.0,4.9,Male
18,43,209.0,3.7,Female
28,34,284.0,2.5,Female
36,19,151.0,2.7,Female
46,72,593.0,6.7,Female
36,99,723.0,7.2,Female
43,64,730.0,5.3,Female
36,55,887.0,8.5,Male
45,66,787.0,8.8,Female
32,72,463.0,5.3,Female
59,97,707.0,6.5,Female
53,97,639.0,4.9,Female
57,50,272.0,6.5,Male
36,63,641.0,8.5,Female
51,75,623.0,6.7,Female
40,67,561.0,10.8,Male
44,70,780.0,6.9,Female
41,58,771.0,6.6,Female
50,48,653.0,8.1,Male
44,99,589.0,4.9,Male
65,83,644.0,11.1,Other
52,68,681.0,7.0,Male
48,70,781.0,3.6,Female
50,70,630.0,6.5,Female
43,98,720.0,8.2,Other
51,86,517.0,6.0,Female
48,80,715.0,7.0,Female
51,74,444.0,7.8,Female
36,64,800.0,6.5,Female
48,83,620.0,8.8,Male
49,81,806.0,5.6,Male
39,96,727.0,5.8,Male
55,54,799.0,6.2,Male
46,98,604.0,6.0,Female
49,62,876.0,10.2,Male
42,60,262.0,9.7,Male
36,77,669.0,9.0,Other
39,89,501.0,7.6,Female
31,55,732.0,7.8,Female
48,93,567.0,7.0,Female
46,53,744.0,7.2,Female
52,81,867.0,7.5,Female
48,78,663.0,4.5,Male
52,57,522.0,6.3,Male
51,105,639.0,10.4,Female
45,86,506.0,7.4,Female
40,60,414.0,9.3,Male
50,75,585.0,7.0,Other
46,60,627.0,5.6,Female
51,58,722.0,8.1,Female
41,78,767.0,7.9,Male
45,67,723.0,3.9,Female
50,66,616.0,7.1,Female
37,70,466.0,4.7,Male
40,91,1088.0,6.8,Male
49,56,479.0,7.1,Female
