sale_price,square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,has_pool,neighborhood,quality_rating
467290.0,966.0,1,4,74.0,15838,2,0,Suburban,10
785473.0,3397.0,4,3,5.0,3546,2,0,Rural,3
716252.0,2973.0,5,3,33.0,16939,2,1,Suburban,1
580423.0,2208.0,5,4,38.0,3701,2,0,Suburban,8
567857.0,2187.0,2,2,67.0,2542,2,0,Waterfront,6
862987.0,3698.0,3,4,10.0,3864,1,0,Suburban,9
358493.0,955.0,3,4,36.0,10926,1,0,Waterfront,2
828736.0,3125.0,2,3,12.0,14201,1,1,Rural,1
485680.0,1365.0,2,4,,9850,1,1,Downtown,6
409192.0,984.0,2,4,53.0,4000,2,1,Suburban,9
619555.0,2519.0,5,2,42.0,5582,1,0,Suburban,5
1011500.0,4113.0,4,4,33.0,18973,1,0,Waterfront,8
904029.0,3261.0,5,2,13.0,21233,0,0,Suburban,10
901946.0,3352.0,5,2,78.0,16962,2,0,Downtown,9
744512.0,3197.0,5,3,55.0,3619,1,0,Suburban,6
886880.0,3440.0,1,4,27.0,18306,1,0,Downtown,7
753929.0,2471.0,5,2,35.0,15685,1,1,Rural,6
321341.0,1104.0,1,2,61.0,12284,0,0,Suburban,7
781924.0,3631.0,3,1,61.0,4436,1,0,Rural,6
677916.0,2248.0,3,1,39.0,21931,2,0,Rural,6
547578.0,2426.0,2,2,25.0,10573,1,0,Suburban,5
377400.0,1966.0,1,2,56.0,2405,0,0,Suburban,7
375725.0,1298.0,1,4,55.0,5804,1,0,Rural,8
947894.0,3940.0,5,4,50.0,9725,0,1,Rural,10
804519.0,3424.0,2,4,,2777,1,0,Rural,7
652743.0,2935.0,2,1,40.0,8140,1,0,Downtown,2
615633.0,2078.0,5,1,52.0,11102,0,0,Suburban,6
781511.0,3570.0,1,2,80.0,20947,2,0,Downtown,4
576786.0,2586.0,5,3,44.0,3270,0,0,Rural,1
655267.0,2224.0,5,3,29.0,13325,2,0,Suburban,1
653967.0,2249.0,3,2,47.0,20273,2,0,Suburban,6
520158.0,1456.0,1,1,15.0,18026,0,0,Downtown,10
434615.0,977.0,1,4,7.0,20461,1,0,Suburban,6
609481.0,2618.0,2,2,57.0,4991,0,0,Suburban,5
769016.0,,3,2,83.0,17927,0,0,Downtown,1
489673.0,876.0,1,3,71.0,21561,2,0,Downtown,7
817985.0,3696.0,3,4,49.0,8183,2,0,Rural,1
870844.0,3588.0,1,1,3.0,11722,0,0,Rural,9
468593.0,1632.0,3,3,83.0,12382,0,0,Downtown,9
717540.0,2892.0,1,4,38.0,11620,0,0,Downtown,10
412679.0,1236.0,4,3,24.0,7440,1,0,Waterfront,3
752126.0,3341.0,1,4,75.0,21403,0,0,Suburban,2
725436.0,3136.0,1,2,63.0,21108,0,0,Suburban,3
486865.0,1908.0,1,3,63.0,9305,1,0,Suburban,8
442113.0,891.0,5,3,23.0,18008,0,1,Downtown,3
853576.0,4095.0,1,2,84.0,9649,2,0,Downtown,9
712086.0,2232.0,3,2,38.0,17793,2,0,Rural,2
874098.0,3820.0,3,4,45.0,13487,2,0,Downtown,1
723193.0,3056.0,3,3,63.0,11138,0,0,Downtown,3
770960.0,3413.0,4,1,56.0,4125,2,0,Rural,8
913050.0,3347.0,5,3,14.0,14919,2,0,Waterfront,7
368875.0,1340.0,2,3,25.0,8082,0,0,Rural,4
593918.0,1941.0,5,4,30.0,5945,2,0,Suburban,7
554679.0,2306.0,2,4,,5460,1,0,Suburban,7
763951.0,2417.0,5,1,60.0,21628,2,0,Suburban,6
356504.0,805.0,3,4,31.0,3617,1,0,Suburban,6
736217.0,2590.0,4,3,62.0,17869,2,0,Suburban,2
472489.0,1197.0,5,4,62.0,19255,0,0,Suburban,3
802190.0,3288.0,4,3,33.0,2136,1,0,Suburban,6
739523.0,3074.0,5,3,34.0,13581,0,0,Rural,2
917230.0,3924.0,3,4,76.0,13336,0,0,Waterfront,5
669745.0,3293.0,1,3,47.0,8852,0,0,Downtown,2
594524.0,1951.0,3,1,12.0,15167,1,0,Suburban,8
776826.0,4084.0,1,4,61.0,9877,0,0,Downtown,2
668893.0,2108.0,5,4,50.0,10513,2,0,Suburban,1
545508.0,1806.0,2,2,43.0,10346,1,0,Downtown,7
886179.0,3864.0,2,4,61.0,17913,2,0,Downtown,3
591614.0,1965.0,2,4,77.0,14479,2,0,Rural,4
391945.0,921.0,4,3,28.0,9270,0,0,Suburban,4
695294.0,2316.0,3,2,35.0,20498,0,0,Waterfront,3
893420.0,3474.0,5,3,16.0,17942,1,1,Downtown,8
483339.0,1322.0,3,1,55.0,20621,1,0,Downtown,7
596989.0,2293.0,2,4,34.0,16475,0,0,Suburban,3
383462.0,1111.0,1,4,29.0,9525,2,0,Downtown,7
785209.0,3086.0,1,2,59.0,17345,1,0,Downtown,8
602461.0,2338.0,2,1,,8249,2,0,Waterfront,6
552983.0,1822.0,5,4,39.0,7054,0,0,Downtown,6
605663.0,1455.0,3,2,37.0,10746,2,0,Downtown,10
754785.0,2653.0,5,2,21.0,21370,0,1,Suburban,5
746159.0,3027.0,1,4,10.0,13142,1,0,Suburban,4
845180.0,3988.0,1,4,70.0,9365,1,0,Suburban,6
772902.0,2201.0,5,4,7.0,10967,2,1,Suburban,9
395823.0,1220.0,1,4,27.0,7469,0,0,Rural,8
736724.0,3606.0,1,3,56.0,15004,0,0,Downtown,1
754040.0,2885.0,3,2,11.0,8683,1,0,Suburban,5
815304.0,,5,4,55.0,12865,1,0,Suburban,8
278146.0,995.0,4,4,62.0,9081,0,0,Rural,3
449516.0,1758.0,1,4,56.0,8074,0,0,Suburban,10
961976.0,3375.0,5,4,25.0,21389,0,0,Suburban,9
908311.0,3604.0,5,1,1.0,8587,1,0,Downtown,9
484594.0,2195.0,5,4,75.0,2945,1,0,Downtown,1
834205.0,3506.0,5,2,27.0,9261,1,0,Downtown,6
841223.0,3638.0,2,4,68.0,12408,2,0,Rural,6
596196.0,2025.0,5,2,16.0,3440,0,1,Downtown,7
878705.0,3838.0,2,3,13.0,7766,2,0,Rural,9
437339.0,1673.0,5,1,66.0,4904,2,0,Downtown,4
444115.0,1500.0,3,4,79.0,11763,0,0,Rural,6
746538.0,3072.0,4,4,73.0,16323,0,0,Rural,7
772788.0,2910.0,4,2,63.0,21353,0,0,Downtown,8
409397.0,1146.0,4,3,20.0,9476,0,0,Downtown,8
844083.0,3606.0,4,2,77.0,19196,1,0,Downtown,4
487833.0,1359.0,4,3,56.0,5898,0,1,Rural,10
865433.0,3507.0,4,4,14.0,17500,0,0,Downtown,1
354802.0,676.0,1,1,10.0,13034,1,0,Suburban,5
857962.0,3478.0,5,2,74.0,17042,2,0,Suburban,7
785055.0,3443.0,3,2,23.0,16988,0,1,Rural,1
769713.0,3420.0,2,1,65.0,12414,2,0,Suburban,5
796128.0,3010.0,3,4,11.0,6777,1,0,Suburban,6
714974.0,2324.0,5,4,23.0,12286,2,0,Waterfront,7
748655.0,3153.0,5,1,24.0,18449,0,0,Downtown,2
590311.0,1633.0,5,4,23.0,21398,1,0,Rural,3
851423.0,3421.0,3,1,57.0,20513,2,1,Downtown,3
588092.0,2622.0,4,2,77.0,5220,0,1,Suburban,7
604940.0,2279.0,2,3,77.0,13746,2,0,Rural,4
583434.0,2444.0,4,1,63.0,3644,1,0,Suburban,6
782003.0,2669.0,4,2,17.0,15213,1,0,Suburban,8
467254.0,782.0,2,4,81.0,21842,1,1,Downtown,8
370635.0,1146.0,2,4,46.0,2577,1,0,Suburban,2
464415.0,1521.0,1,3,46.0,14959,0,0,Suburban,10
396051.0,1056.0,1,3,59.0,20883,2,0,Suburban,2
566751.0,2210.0,3,1,65.0,18867,1,0,Suburban,1
637671.0,3022.0,3,1,80.0,9545,2,0,Suburban,1
610175.0,2973.0,1,3,49.0,3630,1,1,Suburban,3
678768.0,2322.0,3,1,51.0,20439,1,1,Downtown,9
882190.0,3685.0,4,4,63.0,20387,1,1,Suburban,3
725079.0,2656.0,2,4,21.0,13369,2,0,Downtown,7
481325.0,931.0,2,4,26.0,21567,2,0,Rural,5
744668.0,3365.0,2,4,53.0,1594,2,0,Suburban,1
744479.0,2689.0,3,3,5.0,14140,1,0,Downtown,5
734541.0,2903.0,2,3,27.0,2290,2,0,Suburban,1
726433.0,2657.0,4,3,61.0,20681,1,0,Rural,5
641470.0,2615.0,2,4,82.0,15448,1,0,Downtown,6
488942.0,971.0,3,4,44.0,20225,2,0,Downtown,6
656244.0,2635.0,2,4,33.0,13034,0,0,Downtown,3
799870.0,3471.0,1,3,37.0,3206,2,0,Downtown,8
496506.0,1729.0,4,2,58.0,2043,0,0,Rural,6
617250.0,2790.0,2,3,46.0,8379,1,0,Waterfront,3
455862.0,759.0,2,3,1.0,16740,1,0,Downtown,5
495188.0,1883.0,4,3,45.0,4596,1,0,Rural,2
666726.0,2200.0,5,3,34.0,18968,1,0,Downtown,10
936718.0,4138.0,4,4,59.0,6409,1,0,Suburban,8
472070.0,1411.0,5,2,74.0,11676,1,0,Rural,3
445246.0,1631.0,5,4,81.0,5663,1,0,Suburban,7
593662.0,2100.0,3,4,51.0,11048,1,0,Downtown,7
920201.0,4173.0,4,2,30.0,10769,2,0,Suburban,7
693998.0,3679.0,2,2,37.0,1612,1,0,Waterfront,1
470150.0,773.0,3,3,14.0,13140,1,0,Downtown,9
532706.0,1480.0,3,4,79.0,17626,2,0,Downtown,10
907405.0,3566.0,5,4,72.0,20693,2,0,Downtown,10
378113.0,856.0,5,4,72.0,8279,0,0,Suburban,10
947810.0,3687.0,3,2,27.0,19552,2,0,Suburban,10
570691.0,1648.0,4,3,27.0,19514,0,0,Rural,8
856232.0,3907.0,2,2,72.0,21761,0,0,Rural,1
515816.0,1692.0,5,4,46.0,9147,2,0,Rural,5
545540.0,2191.0,3,2,59.0,18943,0,0,Rural,3
754636.0,2999.0,3,3,41.0,13084,2,0,Downtown,3
456544.0,1098.0,4,2,37.0,2694,2,0,Suburban,9
744987.0,2627.0,4,4,53.0,7042,2,0,Downtown,9
